epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,32119.9,1.28809,0.77851,0.02032,0.88237,0.84099,0.90816,0.70172,0.8511,0.4829,0.0261,0.0252777,0.00842589,0.0252777,0.00842589,0.0252777,0.00842589,0.0252777,0.00842589
49,32785.5,1.27642,0.76927,0.02022,0.87502,0.85377,0.90974,0.70737,0.83367,0.48494,0.02527,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
50,33452.5,1.27124,0.7519,0.01994,0.88158,0.8472,0.9025,0.69722,0.83528,0.50926,0.0251,0.0248925,0.00829749,0.0248925,0.00829749,0.0248925,0.00829749,0.0248925,0.00829749
51,34120.2,1.27059,0.76435,0.02028,0.87072,0.86526,0.90593,0.70208,0.85121,0.50655,0.02581,0.0246954,0.0082318,0.0246954,0.0082318,0.0246954,0.0082318,0.0246954,0.0082318
52,34788.8,1.27546,0.76825,0.02027,0.86774,0.85525,0.90161,0.69412,0.83207,0.49662,0.02515,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
53,35454.4,1.26742,0.75998,0.02011,0.91152,0.85015,0.90535,0.703,0.8428,0.49801,0.02545,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752
54,36118.7,1.27549,0.75075,0.02004,0.91185,0.825,0.90673,0.70093,0.85888,0.48685,0.02621,0.024087,0.00802898,0.024087,0.00802898,0.024087,0.00802898,0.024087,0.00802898
55,36785.8,1.27179,0.76704,0.01991,0.88089,0.85222,0.90558,0.69549,0.86537,0.50981,0.02658,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
56,37456.4,1.257,0.75081,0.01957,0.8749,0.8444,0.90372,0.70359,0.84772,0.5249,0.026,0.0236676,0.0078892,0.0236676,0.0078892,0.0236676,0.0078892,0.0236676,0.0078892
57,38123.6,1.25176,0.73372,0.01988,0.88562,0.86134,0.90667,0.70919,0.80999,0.47033,0.02436,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818
58,38793.4,1.25888,0.73519,0.01974,0.89731,0.84347,0.90305,0.7061,0.81513,0.49349,0.02467,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
59,39462.7,1.25411,0.74586,0.01963,0.90295,0.83061,0.90397,0.71613,0.77156,0.50539,0.02304,0.0230193,0.0076731,0.0230193,0.0076731,0.0230193,0.0076731,0.0230193,0.0076731
60,40130.6,1.24857,0.751,0.01989,0.86114,0.85355,0.90349,0.71482,0.78422,0.4904,0.02369,0.0227983,0.00759944,0.0227983,0.00759944,0.0227983,0.00759944,0.0227983,0.00759944
61,40798.1,1.23748,0.74106,0.01933,0.89186,0.83586,0.90206,0.71107,0.78975,0.47799,0.02387,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
